StaffID,StaffName,HospitalID,StaffType,Phone
1,Stephen Heidenreich,1,Doctor,1-443-613-4160 x096
2,Brenda Labadie,3,Doctor,1-859-501-9422
3,Frankie Nader,3,Doctor,858-922-3256
4,Mrs. Julie Schroeder,3,Doctor,1-631-658-9455
5,Debra Schowalter,5,Doctor,981-351-9988 x71574
6,Bruce Hand,4,Doctor,290.679.2367 x56166
7,Carol Ruecker,4,Doctor,224.836.0861
8,Roman Sawayn,5,Doctor,739-899-5136
9,Mae Paucek,3,Doctor,1-615-663-5676 x587
10,Isabel Koelpin,3,Doctor,(461) 706-4928 x30257
11,Sonya O'Reilly,3,Doctor,846-717-8137
12,Emilio Hoeger DVM,4,Doctor,821.836.6633
13,Andres Rice,2,Doctor,(212) 363-7711
14,Paul Murphy,3,Doctor,1-802-870-7367
15,Anita Johnson,1,Doctor,1-969-537-4389 x634
16,Joanne Okuneva,4,Doctor,1-502-972-3493 x0745
17,Juana Balistreri,1,Doctor,523.235.9200 x7006
18,Jean Hilpert,1,Doctor,1-287-568-7527 x849
19,Carol Bailey,3,Doctor,211.393.2619
20,Whitney Bosco,4,Doctor,983-513-2565 x283
21,Forrest Wolf,5,Doctor,1-592-765-3967
22,Reginald Hartmann,2,Doctor,(783) 512-2081 x1148
23,Amelia Leannon,4,Doctor,1-800-976-2213
24,Miranda Kohler,3,Doctor,(331) 645-8576
25,Rafael Towne,2,Doctor,808-452-8780 x07668
26,Mrs. Suzanne Hermiston,1,Doctor,804-709-3456 x7473
27,Nicholas Lind,1,Doctor,1-249-374-0332
28,Micheal Bailey,5,Doctor,671-482-4317 x088
29,Victoria Mueller,5,Doctor,371.573.9318 x7750
30,Phyllis Reinger,3,Doctor,703.623.3876 x938
31,Mrs. Jennifer Steuber,4,Doctor,1-244-353-8413 x3986
32,Emilio Powlowski,1,Doctor,870-201-5581 x32466
33,Brian Carter,5,Doctor,437.271.6331
34,Lynne Wolff,1,Doctor,1-540-245-9490 x6204
35,Jack Stoltenberg,3,Doctor,(803) 578-0896 x928
36,Alex Homenick,1,Doctor,1-231-334-4440 x762
